Day/hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
171,67.05063333,87.96333333,96.37216667,89.66213333,82.95826667,73.70373333,64.35723333,61.10103333,72.13593333,62.64873333,49.31733333,55.07973333,66.16623333,40.61493333,62.00553333,50.66133333,42.19413333,36.75523333,31.00213333,29.74883333,34.98853333,45.90693333,54.34053333,49.60293333
172,60.67893333,79.12226667,72.13593333,87.90853333,97.16543333,97.67073333,96.83943333,84.83973333,85.69826667,94.36183333,95.367,85.68,84.43786667,97.65443333,41.65653333,54.39093333,47.82213333,34.15803333,30.21693333,28.57103333,33.47853333,35.41133333,33.97683333,43.55493333
173,60.94023333,72.21633333,87.52493333,99.49466667,99.788,99.932,100,100,100,100,100,100,100,99.63666667,99.40466667,98.21406667,94.11733333,88.73053333,81.05853333,71.81433333,59.85483333,50.67813333,44.69733333,51.31653333
174,58.72923333,68.96013333,94.18796667,99.62,100,100,99.68466667,100,100,100,99.76133333,95.58976667,41.94213333,14.78493333,13.06683333,9.761733333,5.748666667,9.333933333,14.59863333,22.15413333,33.46343333,52.82853333,63.85473333,64.19643333
175,80.94893333,95.26376667,100,100,100,100,100,77.60613333,95.6441,97.90436667,99.5,97.35016667,99.81733333,99.58333333,94.91603333,91.41573333,77.05813333,81.05853333,91.63493333,96.96983333,99.36333333,100,100,100
176,100,100,99.88933333,100,100,100,100,99.95,100,100,100,100,100,99.94,99.91933333,100,99.41333333,94.76933333,92.95013333,95.32896667,90.9408,94.78563333,96.02986667,98.16516667
177,99.91533333,99.562,99.456,99.90866667,98.9367,99.516,99.47666667,99.756,99.406,97.45883333,92.34733333,89.20546667,63.47283333,59.39253333,85.132,86.26453333,69.70383333,56.13633333,48.77973333,53.16453333,58.14633333,48.42693333,43.53813333,42.04293333
178,23.20333333,18.59373333,10.09983333,81.3508,94.47593333,95.12793333,95.30723333,87.28746667,86.41066667,83.34186667,78.20893333,34.80733333,29.43173333,27.66503333,17.08873333,15.44613333,10.87263333,6.840666667,10.72773333,9.037233333,7.97,5.786,13.75683333,8.223033333
179,18.77433333,17.63913333,56.61873333,50.81253333,48.84693333,41.03493333,33.90133333,42.54693333,30.44343333,14.01213333,11.27973333,7.806666667,10.23093333,10.77603333,3.994,1.949333333,0.5488,0.112,0.2856,0.7128,3.341333333,3.863333333,1.474666667,6.57
180,8.298933333,34.70163333,69.98523333,56.69913333,56.49813333,45.28533333,60.27693333,52.47573333,40.22853333,34.38453333,31.36453333,33.34263333,14.30883333,13.30833333,4.852666667,7.307333333,9.051033333,5.352,3.938,2.213333333,1.058666667,7.382,24.43363333,20.73513333
